Actor1CountryCode,Actor2CountryCode,Actor2Type1Code,Actor2Type2Code,AvgTone,MonthYear,NumSources,SOURCEURL
USA,USA,GOV,HLH,1.89155107187894,202003,1,https://www.wpbf.com/article/mayor-of-palm-beach-county-holds-press-conference-on-coronavirus/31274053
USA,USA,GOV,,1.89155107187894,202003,1,https://www.wpbf.com/article/mayor-of-palm-beach-county-holds-press-conference-on-coronavirus/31274053
USA,USA,GOV,,1.89155107187894,202003,1,https://www.wpbf.com/article/mayor-of-palm-beach-county-holds-press-conference-on-coronavirus/31274053
USA,USA,GOV,,-6.49814910892346,202003,3,https://www.wral.com/a-virus-can-kill-so-can-blowhards/18998510/
USA,USA,GOV,,-6.50887573964497,202003,1,http://www.chicagotribune.com/opinion/ct-nyt-coronavirus-right-wing-blowhards-20200308-mplpr3qr4jd3vns4gk6inh5kry-story.html
USA,USA,GOV,,-4.44444444444444,202003,1,https://www.news8000.com/i/on-gps-clinton-on-u-s-efforts-to-contain-coronavirus/
CHN,CHN,GOV,,-5.57717250324254,202003,2,https://www.lehighvalleylive.com/opinion/2020/03/covid-19-could-worsen-divisions-in-an-already-divided-nation-opinion.html
ITA,ITA,GOV,HLH,-6.90335305719921,202003,1,https://www.newsbytesapp.com/timeline/India/58365/272151/coronavirus-two-suspected-cases-emerge-in-j-k
ITA,ITA,GOV,,-6.90335305719921,202003,1,https://www.newsbytesapp.com/timeline/India/58365/272151/coronavirus-two-suspected-cases-emerge-in-j-k
USA,USA,GOV,,-3.38305859433838,202003,6,https://www.freemalaysiatoday.com/category/world/2020/03/07/21-on-stranded-us-cruise-ship-test-positive-for-coronavirus/
USA,USA,GOV,,0.48661800486618,202003,1,https://www.sbs.com.au/news/twenty-one-people-on-stranded-us-cruise-ship-test-positive-for-coronavirus
USA,USA,GOV,,-5.23255813953488,202003,1,https://www.wjhg.com/wecp/content/news/Cruise-passengers-off-California-await-virus-test-results-568550701.html
USA,CHN,GOV,,-4.71475719000471,202003,1,https://www.nytimes.com/2020/03/07/us/politics/trump-coronavirus.html
IRN,USA,GOV,,-3.7359900373599,202003,1,https://www.thenews.com.pk/print/625087-first-coronavirus-patient-from-karachi-recovers
IRN,USA,GOV,,-7.58186635096652,202003,3,https://dailytimes.com.pk/571606/iranian-fms-adviser-dies-of-coronavirus/
IRN,USA,GOV,,-7.93150397989108,202003,2,https://www.middleeasteye.net/news/iranian-mp-fatemeh-rahbar-dies-coronavirus-age-55
USA,IRN,GOV,,-7.93150397989108,202003,2,https://www.middleeasteye.net/news/iranian-mp-fatemeh-rahbar-dies-coronavirus-age-55
IRN,USA,GOV,,-6.8825910931174,202003,1,https://dailytimes.com.pk/571606/iranian-fms-adviser-dies-of-coronavirus/
USA,IRN,GOV,,-6.8825910931174,202003,1,https://dailytimes.com.pk/571606/iranian-fms-adviser-dies-of-coronavirus/
USA,JPN,GOV,,-1.77890724269378,202003,1,https://www.businessinsider.com.au/trump-keep-passengers-on-grand-princess-cruise-ship-coronavirus-2020-3
JPN,USA,GOV,,-1.77890724269378,202003,1,https://www.businessinsider.com.au/trump-keep-passengers-on-grand-princess-cruise-ship-coronavirus-2020-3
KOR,JPN,GOV,,-9.9630996309963,202003,1,https://www.aa.com.tr/en/asia-pacific/south-korea-japan-in-row-over-coronavirus-restrictions/1757063
KOR,JPN,GOV,,-9.9630996309963,202003,1,https://www.aa.com.tr/en/asia-pacific/south-korea-japan-in-row-over-coronavirus-restrictions/1757063
KOR,JPN,GOV,,-6.37720165861453,202003,2,https://www.houstonchronicle.com/news/medical/article/South-Korea-blasts-Japan-over-virus-entry-15109713.php
USA,USA,GOV,,-2.5974025974026,202003,1,https://www.oregonlive.com/coronavirus/2020/03/stanford-university-cancels-in-person-classes-as-coronavirus-spreads-across-california-prof-tests-positive.html
USA,USA,GOV,,-2.54686016344047,202003,3,https://www.heraldmailmedia.com/news/nation/coronavirus-spreads-across-california-as-officials-fight-to-contain-disease/article_1f2f148c-84cb-56bb-935a-488abc9670cf.html
USA,GBR,GOV,,-4.24857324032975,202003,1,https://www.politico.com/states/california/story/2020/03/06/california-braces-for-economic-fallout-as-coronavirus-spreads-1265879
USA,USA,GOV,,-2.47473522515968,202003,3,https://www.business-standard.com/article/pti-stories/twenty-one-on-cruise-ship-off-us-test-positive-for-coronavirus-120030700110_1.html
GBR,USA,GOV,,-3.26340326340327,202003,1,https://www.sfgate.com/food/article/Coronavirus-conference-cancellation-sf-restaurants-15111649.php
USA,GBR,GOV,,-3.26340326340327,202003,1,https://www.sfgate.com/food/article/Coronavirus-conference-cancellation-sf-restaurants-15111649.php
USA,USA,GOV,,-5.23255813953488,202003,1,https://www.wjhg.com/wecp/content/news/Cruise-passengers-off-California-await-virus-test-results-568550701.html
USA,USA,GOV,,-2.48485907842148,202003,3,https://www.gazettextra.com/news/nation_world/coronavirus-spreads-across-california-as-officials-fight-to-contain-disease/article_dd72c555-deda-5a99-ae2d-c4dc506dc9a0.html
USA,USA,GOV,,-0.81680280046675,202003,1,https://www.michigansthumb.com/news/medical/article/As-coronavirus-spreads-Medicare-gets-15111559.php
USA,USA,GOV,,-0.0586391082912987,202003,7,https://www.app.com/story/travel/cruises/2020/03/06/coronavirus-grand-princess-cruise-passengers-what-we-know/4972973002/
USA,USA,GOV,,1.6260162601626,202003,1,https://news.yahoo.com/trump-officials-lavish-praise-on-presidents-coronavirus-response-235721494.html
USA,USA,GOV,,1.56739811912226,202003,1,https://www.washingtonexaminer.com/policy/defense-national-security/chamber-of-commerce-hosts-diplomatic-summit-in-dc-despite-coronavirus
USA,USA,GOV,,1.56739811912226,202003,1,https://www.washingtonexaminer.com/policy/defense-national-security/chamber-of-commerce-hosts-diplomatic-summit-in-dc-despite-coronavirus
IRN,USA,GOV,,-7.09677419354839,202003,1,https://www.geo.tv/latest/276123-iranian-lawmaker-dies-of-novel-coronavirus
USA,USA,GOV,,-2.92825768667642,202003,1,https://gephardtdaily.com/national-international/trump-signs-8-3b-bill-to-fund-covid-19-fight-will-visit-cdc/
USA,USA,GOV,,-5.28683914510686,202003,1,https://www.nytimes.com/2020/03/07/opinion/sunday/coronavirus-united-states.html
GBR,USA,GOV,,-3.98671096345515,202003,1,https://www.thenational.scot/news/18289430.nicola-sturgeon-takes-dig-donald-trumps-coronavirus-comments/
USA,USA,GOV,,-6.21301775147929,202003,1,https://dailycaller.com/2020/03/07/bill-maher-coronavirus-people-die-thats-what-happens/
USA,USA,GOV,,-6.21301775147929,202003,1,https://dailycaller.com/2020/03/07/bill-maher-coronavirus-people-die-thats-what-happens/
USA,USA,GOV,,-5.28683914510686,202003,1,https://www.nytimes.com/2020/03/07/opinion/sunday/coronavirus-united-states.html
CHN,CHN,GOV,,-5.73799450751201,202003,3,https://www.richmond.com/ap/commentary/chris-reed-column-coronavirus-could-worsen-depression-divisions-in-u/article_88bcf373-6b52-5bc3-94d5-1fdf1c915d7b.html
JPN,IRN,GOV,,-3.66081934749403,202003,2,https://phys.org/news/2020-03-coronavirus-tackle-climate-crisis.html
JPN,IRN,GOV,,-3.66081934749403,202003,2,https://phys.org/news/2020-03-coronavirus-tackle-climate-crisis.html
USA,USA,GOV,,-3.28947368421053,202003,1,https://www.forexcrunch.com/gold-remains-positive-above-1700-as-coronavirus-propels-risk-aversion/
JPN,IRN,GOV,,-3.64120781527531,202003,1,https://phys.org/news/2020-03-coronavirus-tackle-climate-crisis.html
JPN,IRN,GOV,,-3.64120781527531,202003,1,https://phys.org/news/2020-03-coronavirus-tackle-climate-crisis.html
USA,USA,GOV,,-2.47252747252747,202003,1,https://www.washingtonpost.com/politics/trump-coronavirus-secret-service-handshake/2020/03/09/36a1c5ca-6217-11ea-acca-80c22bbee96f_story.html
CHN,CHN,GOV,,-6.4183934092524,202003,2,https://www.asiaone.com/china/women-more-likely-survive-coronavirus-china-studies-find
CHN,CHN,GOV,,-9.62025316455701,202003,1,https://www.washingtonexaminer.com/opinion/calling-coronavirus-wuhan-virus-isnt-racist-but-china-wants-you-to-think-it-is
