Actor1Name,Actor2CountryCode,Actor2Type1Code,Actor2Type2Code,AvgTone,MonthYear,NumSources,SOURCEURL
MINIST OF HEALTH,ISR,GOV,,-0.70921985815603,202003,1,http://www.israelnationalnews.com/News/Flash.aspx/490736
MINIST OF HEALTH,ISR,GOV,,-0.70921985815603,202003,1,http://www.israelnationalnews.com/News/Flash.aspx/490736
HEALTH MINIST,ISR,GOV,,-1.13636363636364,202003,1,https://unitedwithisrael.org/cov-19-battle-israeli-woman-so-proud-of-her-country-for-valuing-health-above-wealth/
HEALTH MINIST,IND,GOV,,-3.23741007194244,202003,1,https://www.firstpost.com/india/coronavirus-cases-in-india-at-45-after-karnataka-and-punjab-report-first-patients-aircraft-sent-to-bring-back-indians-stranded-in-iran-8135091.html
HEALTH OFFICIAL,USA,GOV,,-6.86406460296097,202003,1,https://www.aljazeera.com/news/2020/03/experts-trump-wrong-compare-coronavirus-flu-200309145951552.html
WORLD HEALTH ORGANIZATION,EGY,GOV,,-0.49972237645752,202003,1,https://www.freep.com/story/travel/cruises/2020/03/07/coronavirus-grand-princess-cruise-ship-california/4978565002/
HEALTH MINIST,IND,GOV,,-3.38983050847457,202003,1,https://english.jagran.com/india/coronavirus-in-india-latest-updates-delhi-noida-gurgaon-number-of-cases-patient-count-symptoms-precautions-health-ministry-10009495
HEALTH MINIST,IND,GOV,,-5.02293577981651,202003,2,https://www.aninews.in/news/national/general-news/300-more-isolation-wards-will-be-opened-in-madurai-trichy-chennai-tn-health-minister20200309145519/
WORLD HEALTH ORGANIZATION,ITA,GOV,,-5.84558406870755,202003,7,https://ca.news.yahoo.com/europe-told-act-now-coronavirus-113710630.html
HEALTH OFFICIAL,USA,GOV,,0,202003,1,https://www.wibwnewsnow.com/kansas-woman-with-coronavirus-being-treated-at-university-of-kansas-hospital/
HEALTH OFFICIAL,USA,GOV,,-1.13122171945701,202003,1,https://www.nbcwashington.com/news/local/dc-high-school-closed-monday-after-staffer-had-contact-with-coronavirus-patient/2234810/
HEALTH DEPARTMENT,USA,GOV,AGR,-0.233785591782542,202003,5,https://www.mankatofreepress.com/news/state_news/editorial-roundup-excerpts-from-recent-minnesota-editorials/article_b36f748b-580c-5170-8f94-3890160e0f6e.html
HEALTH DEPARTMENT,USA,GOV,AGR,-0.233785591782542,202003,5,https://www.mankatofreepress.com/news/state_news/editorial-roundup-excerpts-from-recent-minnesota-editorials/article_b36f748b-580c-5170-8f94-3890160e0f6e.html
TEVA PHARMACEUTICAL,ISR,MNC,HLH,-8.7561814248184,202003,2,https://www.planadviser.com/counterarguments-filed-erisa-lawsuit-targeting-teva-pharmaceuticals/
WORLD HEALTH ORGANIZATION,CHN,GOV,,-5.55555555555555,202003,1,https://www.bworldonline.com/shares-slump-further-on-fears-over-virus-outbreak/
MEDICAL OFFICIAL,IRN,GOV,MED,-6.56370656370656,202003,1,https://www.middleeasteye.net/news/iran-supreme-leader-khamenei-adviser-dies-coronavirus
MEDICAL OFFICIAL,IRN,GOV,MED,-6.56370656370656,202003,1,https://www.middleeasteye.net/news/iran-supreme-leader-khamenei-adviser-dies-coronavirus
HEALTH OFFICIAL,COK,GOV,,-5.83333333333334,202003,1,https://www.rnz.co.nz/international/pacific-news/410833/cruise-ship-carrying-italian-passengers-banned-from-cooks-aitutaki
HEALTH OFFICIAL,COK,GOV,,-5.83333333333334,202003,1,https://www.rnz.co.nz/international/pacific-news/410833/cruise-ship-carrying-italian-passengers-banned-from-cooks-aitutaki
BELARUS,IRN,GOV,,-1.76991150442478,202003,1,https://en.trend.az/iran/politics/3200237.html
WASHINGTON,USA,GOV,,-3.6775179654615,202003,2,https://www.geo.tv/latest/275214-us-confirms-second-coronavirus-death-new-york-reports-first-case
